Day_of_week,Age_band_of_driver,Sex_of_driver,Educational_level,Driving_experience,Type_of_vehicle,Owner_of_vehicle,Service_year_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Casualty_class,Sex_of_casualty,Age_band_of_casualty,Casualty_severity,Pedestrian_movement,Cause_of_accident,Accident_severity,Hour,Minute
Monday,31-50,Male,Junior high school,1-2yr,,Governmental,,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Driver or rider,Female,31-50,3,Not a Pedestrian,No distancing,Slight Injury,8,5
Monday,31-50,Male,Junior high school,5-10yr,Automobile,Owner,2-5yrs, Church areas,Undivided Two way,Tangent road with flat terrain,Y Shape,,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Other,Passenger,Female,Under 18,3,Not a Pedestrian,Changing lane to the left,Slight Injury,16,40
Monday,31-50,Male,Junior high school,Below 1yr,Lorry (41?100Q),Governmental,,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Gravel roads,Dry,Daylight,Normal,Collision with pedestrians,2,1,Going straight,Pedestrian,Male,Under 18,3,Crossing from driver's nearside,Driving carelessly,Slight Injury,16,40
Monday,18-30,Male,Junior high school,5-10yr,Public (12 seats),Governmental,Unknown,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Female,18-30,3,Not a Pedestrian,Changing lane to the left,Slight Injury,7,40
Monday,Unknown,Male,Junior high school,5-10yr,Lorry (11?40Q),Owner,,School areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,na,na,na,na,Not a Pedestrian,No distancing,Slight Injury,7,40
Tuesday,Under 18,Male,,5-10yr,Automobile,Owner,Unknown,Office areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Not a Pedestrian,Changing lane to the right,Slight Injury,4,50
Tuesday,31-50,Male,Junior high school,5-10yr,Automobile,Owner,5-10yrs,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Earth roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,Over 51,2,Not a Pedestrian,No distancing,Slight Injury,4,50
Tuesday,31-50,Male,High school,2-5yr,Automobile,Owner,,Other,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Reversing,Pedestrian,Male,Over 51,3,Unknown or other,Driving to the left,Slight Injury,14,20
Tuesday,31-50,Male,Above high school,5-10yr,Bajaj,Governmental,,Other,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Other,na,na,na,na,Not a Pedestrian,No distancing,Slight Injury,14,20
Tuesday,18-30,Male,Junior high school,Above 10yr,Public (12 seats),Owner,5-10yrs,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,O Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Not a Pedestrian,Overtaking,Slight Injury,18,15
Tuesday,Unknown,Male,Junior high school,Below 1yr,Lorry (11?40Q),Owner,Unknown,Office areas,Double carriageway (median),Tangent road with mild grade and flat terrain,O Shape,Asphalt roads,Dry,Daylight,Normal,Rollover,2,1,Going straight,Driver or rider,Male,18-30,1,Not a Pedestrian,Driving under the influence of drugs,Slight Injury,18,15
Tuesday,31-50,Male,Elementary school,5-10yr,Automobile,Owner,,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Driver or rider,Male,Under 18,2,Not a Pedestrian,No priority to pedestrian,Slight Injury,7,50
Tuesday,18-30,Male,Elementary school,2-5yr,Public (> 45 seats),Owner,,Office areas,,Tangent road with mild grade and flat terrain,Crossing,Earth roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Not a Pedestrian,Moving Backward,Slight Injury,7,50
Wednesday,18-30,Male,Junior high school,2-5yr,Lorry (41?100Q),Owner,,Office areas,,Tangent road with mild grade and flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,na,na,na,na,Not a Pedestrian,Changing lane to the right,Slight Injury,8,20
Wednesday,31-50,Male,Junior high school,1-2yr,Public (> 45 seats),Owner,,Office areas,One way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Not a Pedestrian,Changing lane to the left,Slight Injury,8,20
Wednesday,18-30,Male,Junior high school,2-5yr,,,,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Driver or rider,Male,18-30,3,Not a Pedestrian,Changing lane to the right,Slight Injury,15,30
Wednesday,Over 51,Male,Junior high school,2-5yr,,Owner,,Office areas,,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Not a Pedestrian,Driving under the influence of drugs,Slight Injury,16,50
Wednesday,31-50,Male,Junior high school,Above 10yr,Automobile,Owner,5-10yrs,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,31-50,3,Not a Pedestrian,No priority to vehicle,Slight Injury,16,50
Wednesday,18-30,Male,High school,Below 1yr,Automobile,Owner,,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,1,Moving Backward,na,na,na,na,Not a Pedestrian,No priority to vehicle,Slight Injury,23,50
Wednesday,31-50,Male,Junior high school,2-5yr,Lorry (41?100Q),,2-5yrs,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,1,1,Moving Backward,Pedestrian,Male,Over 51,3,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Changing lane to the left,Slight Injury,14,30
Friday,31-50,Male,High school,Above 10yr,Automobile,Owner,,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Turnover,Pedestrian,Female,Over 51,3,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Changing lane to the right,Slight Injury,8,10
Friday,18-30,Male,Junior high school,Above 10yr,Public (13?45 seats),Owner,5-10yrs,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Other,Pedestrian,Male,Under 18,3,Crossing from driver's nearside,Changing lane to the right,Slight Injury,8,10
Wednesday,Over 51,Male,High school,5-10yr,Automobile,Governmental,,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,2,Other,Driver or rider,Male,18-30,3,Not a Pedestrian,Changing lane to the left,Slight Injury,21,15
Wednesday,Over 51,Male,Junior high school,Above 10yr,Public (> 45 seats),Owner,5-10yrs,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,2,Going straight,Passenger,Male,18-30,3,Not a Pedestrian,Changing lane to the left,Slight Injury,21,15
Wednesday,Unknown,Male,Junior high school,1-2yr,Lorry (41?100Q),Owner,, Industrial areas,Undivided Two way,Tangent road with flat terrain,Crossing,Earth roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,2,Going straight,na,na,na,na,Not a Pedestrian,Getting off the vehicle improperly,Slight Injury,21,15
Saturday,18-30,Male,Junior high school,2-5yr,Automobile,Owner,5-10yrs, Industrial areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Other,Driver or rider,Female,18-30,2,Not a Pedestrian,Overtaking,Slight Injury,19,10
Saturday,Unknown,Male,Elementary school,2-5yr,Lorry (11?40Q),Owner,, Church areas,Double carriageway (median),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Other,na,na,na,na,Not a Pedestrian,Changing lane to the left,Slight Injury,19,10
Sunday,18-30,Male,Elementary school,5-10yr,Public (13?45 seats),Owner,,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,31-50,3,Not a Pedestrian,Driving under the influence of drugs,Slight Injury,11,0
Sunday,Over 51,Male,Junior high school,5-10yr,Public (13?45 seats),Owner,Above 10yr,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Reversing,Driver or rider,Male,Over 51,3,Not a Pedestrian,Driving carelessly,Slight Injury,11,0
Friday,18-30,Male,High school,5-10yr,,Owner,Unknown,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Other,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,1,Other,na,na,na,na,Not a Pedestrian,Moving Backward,Slight Injury,19,10
Friday,18-30,Male,Junior high school,Above 10yr,Long lorry,Owner,Unknown,Office areas,Undivided Two way,Tangent road with flat terrain,Crossing,Gravel roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Turnover,na,na,na,na,Not a Pedestrian,No distancing,Slight Injury,7,15
Friday,31-50,Male,Junior high school,Below 1yr,Lorry (41?100Q),Governmental,Below 1yr,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Gravel roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,Under 18,3,Not a Pedestrian,No priority to vehicle,Slight Injury,7,15
Friday,Unknown,Male,Junior high school,Below 1yr,Lorry (11?40Q),Owner,Unknown, Industrial areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Not a Pedestrian,Overturning,Slight Injury,14,30
Friday,31-50,Male,Junior high school,Above 10yr,Lorry (41?100Q),Owner,,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Rollover,2,1,Going straight,Driver or rider,Male,Under 18,2,Not a Pedestrian,Changing lane to the left,Slight Injury,14,30
Monday,18-30,Male,High school,5-10yr,Public (12 seats),Owner,,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Earth roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Driver or rider,Male,18-30,3,Not a Pedestrian,No distancing,Slight Injury,7,55
Monday,18-30,Male,Elementary school,5-10yr,,Owner,,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,18-30,3,Not a Pedestrian,Moving Backward,Slight Injury,7,55
Monday,31-50,Male,Junior high school,2-5yr,Taxi,Owner,,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Not a Pedestrian,No priority to vehicle,Serious Injury,13,35
Monday,Over 51,Male,Junior high school,2-5yr,,Owner,,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Driver or rider,Male,Under 18,3,Not a Pedestrian,No priority to vehicle,Serious Injury,13,35
Saturday,31-50,Male,Above high school,5-10yr,Automobile,Organization,,Residential areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Pedestrian,Female,31-50,3,Unknown or other,No distancing,Slight Injury,12,40
Friday,Unknown,Male,Junior high school,2-5yr,,Owner,,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Earth roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,na,na,na,na,Not a Pedestrian,No distancing,Slight Injury,11,25
Wednesday,31-50,Male,,,Lorry (41?100Q),,, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,1,Other,Driver or rider,Male,Under 18,3,Not a Pedestrian,Overtaking,Slight Injury,18,25
Wednesday,31-50,Male,Junior high school,2-5yr,Automobile,Organization,5-10yrs,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Rollover,2,1,Going straight,na,na,na,na,Not a Pedestrian,Driving under the influence of drugs,Slight Injury,21,10
Wednesday,18-30,Male,Junior high school,5-10yr,Automobile,Owner,Above 10yr,School areas,other,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Rollover,2,1,Going straight,Driver or rider,Female,18-30,3,Not a Pedestrian,Changing lane to the right,Slight Injury,21,10
Wednesday,31-50,Male,Junior high school,2-5yr,Lorry (41?100Q),Owner,5-10yrs, Hospital areas,other,Steep grade downward with mountainous terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Raining,Collision with pedestrians,3,1,Moving Backward,Driver or rider,Male,Over 51,3,Not a Pedestrian,Changing lane to the left,Serious Injury,15,25
Wednesday,31-50,Male,Elementary school,1-2yr,Automobile,Owner,2-5yrs,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,3,1,Going straight,na,na,na,na,Not a Pedestrian,Driving carelessly,Serious Injury,15,25
Wednesday,Over 51,Male,High school,,Automobile,Owner,,School areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,3,1,Moving Backward,Driver or rider,Male,Over 51,2,Not a Pedestrian,Moving Backward,Serious Injury,15,25
Wednesday,31-50,Male,Junior high school,1-2yr,Automobile,Owner,Above 10yr,Other,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Other,Driver or rider,Male,Under 18,3,Not a Pedestrian,Moving Backward,Slight Injury,12,30
Wednesday,Unknown,Male,Junior high school,2-5yr,Taxi,Owner,5-10yrs, Industrial areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,2,1,Going straight,na,na,na,na,Not a Pedestrian,Changing lane to the right,Slight Injury,12,30
Tuesday,31-50,Male,Junior high school,1-2yr,,Owner,Unknown, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,2,1,Reversing,Driver or rider,Male,18-30,3,Not a Pedestrian,No priority to vehicle,Slight Injury,17,30
Tuesday,Unknown,Male,Elementary school,Above 10yr,,Owner,,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Not a Pedestrian,Driving at high speed,Slight Injury,17,30
Sunday,31-50,Male,Junior high school,2-5yr,Automobile,Owner,,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Earth roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Other,Pedestrian,Male,Under 18,2,Not a Pedestrian,Driving under the influence of drugs,Slight Injury,3,0
Sunday,31-50,Male,Junior high school,2-5yr,Pick up upto 10Q,Owner,,Office areas,Double carriageway (median),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Other,Pedestrian,Male,Under 18,3,Unknown or other,Changing lane to the right,Slight Injury,3,0
Sunday,Over 51,Male,Junior high school,2-5yr,,Owner,,Office areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Other,na,na,na,na,Not a Pedestrian,Driving carelessly,Slight Injury,10,40
Sunday,31-50,Male,Junior high school,2-5yr,Automobile,Governmental,,Office areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Stopping,Driver or rider,Male,31-50,3,Not a Pedestrian,No distancing,Slight Injury,10,40
Thursday,31-50,Male,Elementary school,2-5yr,Public (12 seats),Owner,,Residential areas,Double carriageway (median),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,2,1,Other,Driver or rider,Female,18-30,3,Not a Pedestrian,Changing lane to the left,Slight Injury,18,45
Thursday,18-30,Male,Junior high school,2-5yr,Public (13?45 seats),Owner,,Office areas,Double carriageway (median),Tangent road with flat terrain,Crossing,Earth roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Other,Passenger,Female,Under 18,3,Not a Pedestrian,No distancing,Slight Injury,18,45
Thursday,18-30,Male,Elementary school,5-10yr,Lorry (11?40Q),Owner,2-5yrs,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,1,Other,Passenger,Female,Under 18,3,Not a Pedestrian,No distancing,Slight Injury,22,10
Monday,31-50,Male,Elementary school,2-5yr,Stationwagen,Owner,2-5yrs, Industrial areas,One way,,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,2,1,Going straight,Driver or rider,Female,Over 51,3,Not a Pedestrian,Getting off the vehicle improperly,Slight Injury,20,45
Monday,18-30,Male,Junior high school,Above 10yr,Automobile,Owner,,Other,One way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Passenger,Male,Over 51,3,Not a Pedestrian,Overtaking,Slight Injury,20,45
Friday,31-50,Male,Junior high school,Above 10yr,Public (> 45 seats),Owner,,Office areas,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,1,1,Going straight,Passenger,Male,31-50,3,Not a Pedestrian,Driving carelessly,Serious Injury,0,15
Saturday,31-50,Male,High school,Above 10yr,Lorry (41?100Q),Governmental,Unknown,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,1,1,Going straight,na,na,na,na,Not a Pedestrian,Driving under the influence of drugs,Serious Injury,2,15
Saturday,Over 51,Male,Junior high school,5-10yr,Public (> 45 seats),Governmental,,,Double carriageway (median),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,na,na,na,na,Not a Pedestrian,Moving Backward,Slight Injury,14,40
Saturday,31-50,Male,Junior high school,2-5yr,,Owner,,Other,,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Not a Pedestrian,Overturning,Slight Injury,14,40
Monday,18-30,Male,Elementary school,1-2yr,,Owner,Unknown,Office areas,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Going straight,Driver or rider,Male,Under 18,3,Not a Pedestrian,Driving under the influence of drugs,Slight Injury,15,20
Monday,18-30,Male,Junior high school,2-5yr,Automobile,Owner,,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Other,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Going straight,Driver or rider,Male,18-30,2,Not a Pedestrian,Changing lane to the right,Slight Injury,15,20
Monday,Over 51,Male,Junior high school,5-10yr,Automobile,Owner,5-10yrs,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Going straight,na,na,na,na,Not a Pedestrian,Changing lane to the left,Slight Injury,15,20
Saturday,18-30,Male,,,Lorry (41?100Q),Owner,,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Not a Pedestrian,No distancing,Slight Injury,19,25
Saturday,18-30,Male,Elementary school,5-10yr,Automobile,Owner,,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,31-50,3,Not a Pedestrian,No distancing,Slight Injury,19,25
Friday,18-30,Male,High school,Above 10yr,Public (13?45 seats),Owner,,  Recreational areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Reversing,na,na,na,na,Not a Pedestrian,No priority to vehicle,Slight Injury,7,0
Friday,Unknown,Male,Junior high school,Above 10yr,Automobile,Owner,, Church areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,31-50,3,Not a Pedestrian,Moving Backward,Slight Injury,7,0
Tuesday,Unknown,Male,Junior high school,1-2yr,Public (> 45 seats),Other,1-2yr,  Recreational areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Other,Pedestrian,Male,Over 51,3,Not a Pedestrian,Moving Backward,Slight Injury,11,40
Wednesday,Over 51,Male,High school,,Lorry (41?100Q),Owner,5-10yrs,School areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,1,,Passenger,Female,18-30,3,Not a Pedestrian,Getting off the vehicle improperly,Slight Injury,22,40
Tuesday,18-30,Male,Junior high school,2-5yr,Automobile,Owner,, Church areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Earth roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Getting off,na,na,na,na,Not a Pedestrian,Changing lane to the left,Slight Injury,19,30
Tuesday,Unknown,Female,Junior high school,5-10yr,Lorry (11?40Q),Owner,5-10yrs,Office areas,,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Female,31-50,3,Not a Pedestrian,Changing lane to the left,Slight Injury,19,30
Tuesday,31-50,Male,Junior high school,2-5yr,Public (13?45 seats),Owner,2-5yrs,Residential areas,One way,Steep grade downward with mountainous terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Passenger,Male,Under 18,3,Not a Pedestrian,No priority to vehicle,Slight Injury,12,10
Tuesday,31-50,Male,Junior high school,Above 10yr,Public (13?45 seats),Owner,,Other,One way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Female,Over 51,3,Not a Pedestrian,Changing lane to the right,Slight Injury,12,10
Friday,18-30,Male,Elementary school,5-10yr,,Owner,,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Not a Pedestrian,Changing lane to the right,Slight Injury,22,40
Friday,Unknown,Male,Junior high school,5-10yr,Long lorry,Governmental,1-2yr, Industrial areas,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Turnover,Driver or rider,Female,Under 18,3,Not a Pedestrian,Driving carelessly,Slight Injury,22,40
Sunday,18-30,Male,Above high school,1-2yr,Lorry (41?100Q),Governmental,1-2yr, Church areas,other,Steep grade downward with mountainous terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Entering a junction,Pedestrian,Male,Under 18,3,Unknown or other,Changing lane to the left,Slight Injury,16,0
Sunday,Unknown,Male,Elementary school,Above 10yr,Lorry (11?40Q),Organization,1-2yr,Office areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Entering a junction,na,na,na,na,Not a Pedestrian,Changing lane to the right,Slight Injury,16,0
Sunday,Unknown,Female,Elementary school,5-10yr,Lorry (41?100Q),Owner,Unknown,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,3,1,Entering a junction,Driver or rider,Male,Under 18,3,Not a Pedestrian,Driving under the influence of drugs,Slight Injury,16,0
Sunday,31-50,Male,Elementary school,2-5yr,Public (12 seats),Owner,,Office areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,1,Entering a junction,na,na,na,na,Not a Pedestrian,Driving carelessly,Serious Injury,20,55
Sunday,Over 51,Male,Elementary school,2-5yr,,Owner,2-5yrs,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,2,1,Other,Driver or rider,Male,18-30,3,Not a Pedestrian,No distancing,Slight Injury,8,50
Sunday,18-30,Male,Junior high school,5-10yr,Taxi,Owner,,Office areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Entering a junction,na,na,na,na,Not a Pedestrian,No priority to vehicle,Slight Injury,8,50
Friday,18-30,Male,Junior high school,1-2yr,,Owner,,Other,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,2,2,Turnover,na,na,na,na,Not a Pedestrian,No priority to vehicle,Slight Injury,21,45
Friday,18-30,Male,Junior high school,5-10yr,Automobile,Owner,Above 10yr, Industrial areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Entering a junction,Driver or rider,Female,18-30,3,Not a Pedestrian,No priority to vehicle,Slight Injury,21,45
Friday,18-30,Male,Junior high school,5-10yr,,Owner,,Residential areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Entering a junction,Pedestrian,Female,Over 51,3,Not a Pedestrian,Changing lane to the left,Slight Injury,21,45
Friday,31-50,Male,Above high school,5-10yr,Lorry (41?100Q),Owner,,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Entering a junction,na,na,na,na,Not a Pedestrian,Moving Backward,Slight Injury,11,40
